epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3941,0.81065,4.49529,1.04532,0.60085,0.16502,0.1913,0.18098,0.50145,3.21635,0.86781,6.003e-05,6.003e-05,6.003e-05
2,26.8814,0.75296,2.63957,1.04551,0.31226,0.5938,0.41811,0.3809,0.48627,4.33205,0.85073,0.000124639,0.000124639,0.000124639
3,30.7812,0.66421,1.82444,0.96546,0.63341,0.61031,0.69627,0.61694,0.48782,2.42275,0.83527,0.000187047,0.000187047,0.000187047
4,34.7315,0.63924,1.48237,0.95765,0.56565,0.76561,0.74176,0.65579,0.54179,1.60299,0.85685,0.000247254,0.000247254,0.000247254
5,38.0638,0.65432,1.15397,0.9305,0.73355,0.72148,0.83678,0.73619,0.55909,1.36816,0.87507,0.000305259,0.000305259,0.000305259
6,41.4208,0.62307,0.95719,0.92859,0.91935,0.81822,0.92299,0.82455,0.55546,0.83016,0.8587,0.000361064,0.000361064,0.000361064
7,45.194,0.63143,1.64881,0.9078,0.85131,0.92766,0.95396,0.84427,0.53042,0.69762,0.85849,0.000414667,0.000414667,0.000414667
8,49.1709,0.65682,0.85319,0.96324,0.82437,0.92158,0.94356,0.83449,0.54858,0.69023,0.86424,0.00046607,0.00046607,0.00046607
9,52.487,0.64413,0.75801,0.94013,0.77238,0.88334,0.86995,0.78273,0.56895,0.81911,0.86237,0.000515271,0.000515271,0.000515271
10,55.7636,0.62458,0.73437,0.94153,0.81681,0.78577,0.89477,0.79269,0.60326,0.98246,0.88825,0.000562271,0.000562271,0.000562271
11,59.7073,0.63419,0.71038,0.94563,0.75004,0.81606,0.82349,0.6894,0.68298,1.11028,0.92083,0.000556945,0.000556945,0.000556945
12,63.3153,0.59935,0.62933,0.91833,0.84271,0.83436,0.86755,0.74512,0.62568,0.85313,0.89071,0.00054594,0.00054594,0.00054594
13,66.449,0.63344,0.60613,0.94771,0.83135,0.86671,0.88867,0.76714,0.58084,0.68611,0.87278,0.000534934,0.000534934,0.000534934
14,69.6007,0.57163,0.58858,0.90917,0.89499,0.86575,0.9292,0.78734,0.57981,0.65287,0.87462,0.000523928,0.000523928,0.000523928
15,73.5293,0.59253,0.576,0.94073,0.92021,0.90263,0.95352,0.83211,0.54713,0.57028,0.87348,0.000512923,0.000512923,0.000512923
16,77.194,0.58403,0.57299,0.90013,0.90174,0.90987,0.98043,0.87299,0.54369,0.50742,0.87005,0.000501917,0.000501917,0.000501917
17,80.5209,0.56135,0.53802,0.91394,0.86504,0.94048,0.95341,0.8409,0.54484,0.53098,0.88243,0.000490912,0.000490912,0.000490912
18,83.986,0.56565,0.52942,0.91048,0.92438,0.97147,0.96058,0.83751,0.54934,0.43254,0.88021,0.000479907,0.000479907,0.000479907
